,Open,High,Low,Close,Volume
2022-01-31 15:30:00-05:00,3.740000009536743,3.8299999237060547,3.740000009536743,3.7899999618530273,741149
2022-01-31 16:00:00-05:00,3.78,3.8,3.75,3.77,0
2022-01-31 17:00:00-05:00,3.78,3.8,3.76,3.8,0
2022-01-31 18:00:00-05:00,3.83,3.85,3.76,3.81,0
2022-02-01 04:00:00-05:00,3.83,3.89,3.76,3.85,0
2022-02-01 05:00:00-05:00,3.85,3.9,3.85,3.89,0
2022-02-01 06:00:00-05:00,3.89,3.92,3.87,3.9,0
2022-02-01 07:00:00-05:00,3.87,3.9,3.84,3.85,0
2022-02-01 08:00:00-05:00,3.85,3.9099,3.83,3.85,0
2022-02-01 09:00:00-05:00,3.9099,3.96,3.84,3.91,0
2022-02-01 09:30:00-05:00,3.9000000953674316,4.100100040435791,3.799999952316284,3.8949999809265137,2685951
2022-02-01 10:30:00-05:00,3.8949999809265137,4.025000095367432,3.880000114440918,3.990000009536743,1362667
2022-02-01 11:30:00-05:00,3.9800000190734863,4.119800090789795,3.9700000286102295,4.019999980926514,1080482
2022-02-01 12:30:00-05:00,4.014999866485596,4.079999923706055,3.9800000190734863,4.025000095367432,629721
2022-02-01 13:30:00-05:00,4.025000095367432,4.03000020980835,3.884999990463257,3.9049999713897705,468745
2022-02-01 14:30:00-05:00,3.9100000858306885,3.9800000190734863,3.880000114440918,3.9198999404907227,488768
2022-02-01 15:30:00-05:00,3.9200000762939453,3.950000047683716,3.9049999713897705,3.950000047683716,349604
2022-02-01 16:00:00-05:00,3.95,3.95,3.89,3.9,0
2022-02-01 17:00:00-05:00,3.94,3.94,3.9,3.94,0
2022-02-01 18:00:00-05:00,3.94,3.94,3.91,3.91,0
2022-02-02 04:00:00-05:00,3.91,3.91,3.91,3.91,0
2022-02-02 05:00:00-05:00,3.94,3.96,3.91,3.96,0
2022-02-02 07:00:00-05:00,3.94,3.99,3.92,3.96,0
2022-02-02 08:00:00-05:00,3.97,4.03,3.95,3.95,0
2022-02-02 09:00:00-05:00,3.95,3.99,3.92,3.94,0
2022-02-02 09:30:00-05:00,3.9700000286102295,4.0,3.740000009536743,3.740000009536743,1037252
2022-02-02 10:30:00-05:00,3.744999885559082,3.759700059890747,3.630000114440918,3.664900064468384,519859
2022-02-02 11:30:00-05:00,3.6600000858306885,3.7799999713897705,3.640000104904175,3.759999990463257,415739
2022-02-02 12:30:00-05:00,3.755000114440918,3.825000047683716,3.7249999046325684,3.7309999465942383,356837
2022-02-02 13:30:00-05:00,3.740000009536743,3.809999942779541,3.7300000190734863,3.740000009536743,176557
2022-02-02 14:30:00-05:00,3.740000009536743,3.8069000244140625,3.710099935531616,3.7799999713897705,237440
2022-02-02 15:30:00-05:00,3.7804999351501465,3.7899999618530273,3.759999990463257,3.759999990463257,173659
2022-02-02 16:00:00-05:00,3.77,3.77,3.6,3.67,0
2022-02-02 17:00:00-05:00,3.67,3.68,3.61,3.67,0
2022-02-02 18:00:00-05:00,3.66,3.67,3.62,3.64,0
2022-02-03 04:00:00-05:00,3.64,3.68,3.64,3.68,0
2022-02-03 05:00:00-05:00,3.68,3.68,3.68,3.68,0
2022-02-03 06:00:00-05:00,3.68,3.68,3.66,3.67,0
2022-02-03 07:00:00-05:00,3.69,3.69,3.67,3.67,0
2022-02-03 08:00:00-05:00,3.68,3.69,3.62,3.64,0
